Student ID, Student First Name, Student Last Name, Created At
12345, Jeremy, Krovitz, 2021-08-15 14:48:41.043415
60001, Beatrice, Ogeh, 2021-08-15 14:58:08.000333
70002, Chloe, Swensen, 2021-08-15 15:02:33.292670
80002, Kaisy, Nunez, 2021-08-15 15:03:35.072013
90002, Maria, Donahoe, 2021-08-15 15:03:48.059779
70003, William, Lewandowski, 2021-08-15 15:06:28.403326
80009, Joe, Shmoe, 2021-08-15 15:15:11.514265
98765, Jon, Smith, 2021-08-15 15:23:43.826501
65321, STeve, Krovitz, 2021-08-15 16:22:56.388018
32423, John, Smith, 2021-08-15 17:05:27.895673
